"","coc","city","state","citywide","particular_places","none","unclear","percent_possible_citywide","percent_possible_particular_places","percent_possible_none","percent_possible_unclear","c3","meet_definition","sleeping_in_public","camping_in_public","sitting_laying_in_public","lodging_living_sleeping_in_vehicles_or_parking_a_vehicle_used_as_a_lodging","loitering_vagrancy","begging","food_sharing_ban","public_urination","public_intoxication"
"1","fl-columbia, hamilton, lafayette, suwannee counties coc","lake city","fl",2,0,7,0,22.2222222222222,0,77.7777777777778,0,"yes","yes","none","none","none","none","citywide","none","none","none","citywide"
"2","fl-punta gorda/charlotte county coc","port charlotte (census designated place)","fl",2,4,3,0,22.2222222222222,44.4444444444444,33.3333333333333,0,"yes","yes","none","only in particular places","citywide","only in particular places","only in particular places","citywide","none","none","only in particular places"
"3","fl-daytona beach/daytona/volusia, flagler counties coc","daytona beach","fl",6,1,2,0,66.6666666666667,11.1111111111111,22.2222222222222,0,"yes","yes","citywide","only in particular places","none","citywide","citywide","citywide","none","citywide","citywide"
"4","fl-monroe county coc","key west","fl",3,2,4,0,33.3333333333333,22.2222222222222,44.4444444444444,0,"yes","yes","citywide","citywide","citywide","only in particular places","none","only in particular places","none","none","none"
"5","select coc","gainesville","fl",4,1,4,0,44.4444444444444,11.1111111111111,44.4444444444444,0,"no","yes","none","none","citywide","only in particular places","none","citywide","citywide","citywide","none"
"6","fl-st. petersburg/clearwater/largo/pinellas county coc","clearwater","fl",3,3,3,0,33.3333333333333,33.3333333333333,33.3333333333333,0,"yes","no","citywide","citywide","only in particular places","citywide","none","only in particular places","none","none","only in particular places"
"7","fl-saint johns county coc","st. augustine","fl",5,1,3,0,55.5555555555556,11.1111111111111,33.3333333333333,0,"yes","yes","citywide","citywide","none","citywide","only in particular places","citywide","none","citywide","none"
"8","fl-fort pierce/st. lucie, indian river, martin counties coc","stuart","fl",2,3,2,1,22.2222222222222,33.3333333333333,22.2222222222222,11.1111111111111,"no","no","only in particular places","citywide","select type","only in particular places","unclear","only in particular places","none","none","citywide"
"9","fl-fort pierce/st. lucie, indian river, martin counties coc","fort pierce","fl",2,4,3,0,22.2222222222222,44.4444444444444,33.3333333333333,0,"no","no","only in particular places","only in particular places","only in particular places","only in particular places","citywide","citywide","none","none","none"
"10","fl-hendry, hardee, highlands counties coc","hendry county, clewiston","fl",0,3,5,0,0,33.3333333333333,55.5555555555556,0,NA,"yes","none","only in particular places","none","only in particular places","only in particular places","none","none","none","county"
"11","fl-hendry, hardee, highlands counties coc","hardee county, wauchula","fl",4,0,5,0,44.4444444444444,0,55.5555555555556,0,NA,"yes","none","citywide","none","citywide","none","citywide","none","none","citywide"
"12","fl-hendry, hardee, highlands counties coc","highlands county","fl",3,0,5,1,33.3333333333333,0,55.5555555555556,11.1111111111111,NA,NA,"unclear","citywide","none","citywide","none","none","none","none","citywide"
"13","fl-pasco county coc","new port richey","fl",5,0,3,0,55.5555555555556,0,33.3333333333333,0,NA,NA,"county","citywide","none","citywide","citywide","citywide","none","none","citywide"
"14","fl-fort walton beach/okaloosa, walton counties coc","destin","fl",1,4,4,0,11.1111111111111,44.4444444444444,44.4444444444444,0,"yes","no","only in particular places","only in particular places","only in particular places","none","only in particular places","citywide","none","none","none"
"15","fl-fort walton beach/okaloosa, walton counties coc","fort walton beach","fl",1,4,3,1,11.1111111111111,44.4444444444444,33.3333333333333,11.1111111111111,"yes","yes","only in particular places","only in particular places","only in particular places","citywide","only in particular places","unclear","none","none","none"
"16","fl-fort walton beach/okaloosa, walton counties coc","okaloosa county","fl",0,4,5,0,0,44.4444444444444,55.5555555555556,0,"yes","no","only in particular places","only in particular places","only in particular places","only in particular places","none","none","none","none","none"
"17","fl-fort walton beach/okaloosa, walton counties coc","state of florida","fl",3,0,4,0,33.3333333333333,0,44.4444444444444,0,"yes","no","none","none","none","none","citywide","citywide","select type","select type","citywide"
