"","prosecutor","fees","charges"
"1","amanda m robocker",30228.5,69
"2","angela h liles",0,1
"3","anne n izzo",3069.41,4
"4","arianna leone",2922.81,10
"5","athena pearl riley",6763.7,8
"6","athenia c singleton",55578.9,126
"7","cassie reed",7789.29,8
"8","david l stevens",5132.45,7
"9","david s rehr",29380.75,69
"10","ginger bowden madden",73322.9,186
"11","ginger madden",50,1
"12","jennifer flowers",4119.9,9
"13","jennifer l flowers",22917.6,50
"14","john a madden jr",3095,4
"15","kayla cash",17598.8,35
"16","kayla robinson",1032.75,1
"17","kelsey stone",320,1
"18","laresa dudley",2095,4
"19","robert paul gillespie",1185,5
"20","sarah j barickman",59054.96,146
"21",NA,669702.02,1259
