"","case_close_data","count"
"1","2010-01",2
"2","2010-02",11
"3","2010-03",6
"4","2010-04",11
"5","2010-05",16
"6","2010-06",21
"7","2010-07",17
"8","2010-08",14
"9","2010-09",18
"10","2010-10",10
"11","2010-11",16
"12","2010-12",12
"13","2011-01",8
"14","2011-02",10
"15","2011-03",25
"16","2011-04",3
"17","2011-05",30
"18","2011-06",17
"19","2011-07",33
"20","2011-08",38
"21","2011-09",22
"22","2011-10",28
"23","2011-11",9
"24","2011-12",5
"25","2012-01",21
"26","2012-02",12
"27","2012-03",23
"28","2012-04",24
"29","2012-05",36
"30","2012-06",27
"31","2012-07",27
"32","2012-08",29
"33","2012-09",41
"34","2012-10",30
"35","2012-11",26
"36","2012-12",7
"37","2013-01",11
"38","2013-02",10
"39","2013-03",18
"40","2013-04",11
"41","2013-05",19
"42","2013-06",26
"43","2013-07",18
"44","2013-08",26
"45","2013-09",25
"46","2013-10",20
"47","2013-11",12
"48","2013-12",11
"49","2014-01",8
"50","2014-02",12
"51","2014-03",10
"52","2014-04",10
"53","2014-05",9
"54","2014-06",17
"55","2014-07",15
"56","2014-08",7
"57","2014-09",24
"58","2014-10",16
"59","2014-11",20
"60","2014-12",9
"61","2015-01",20
"62","2015-02",11
"63","2015-03",15
"64","2015-04",17
"65","2015-05",19
"66","2015-06",15
"67","2015-07",14
"68","2015-08",23
"69","2015-09",21
"70","2015-10",17
"71","2015-11",13
"72","2015-12",15
"73","2016-01",12
"74","2016-02",15
"75","2016-03",17
"76","2016-04",1
"77","2016-05",16
"78","2016-06",18
"79","2016-07",7
"80","2016-08",15
"81","2016-09",8
"82","2016-10",11
"83","2016-11",9
"84","2016-12",9
"85","2017-01",14
"86","2017-02",4
"87","2017-03",12
"88","2017-04",6
"89","2017-05",11
"90","2017-06",7
"91","2017-07",9
"92","2017-08",11
"93","2017-09",6
"94","2017-10",23
"95","2017-11",9
"96","2017-12",14
"97","2018-01",6
"98","2018-02",10
"99","2018-03",9
"100","2018-04",6
"101","2018-05",9
"102","2018-06",20
"103","2018-07",9
"104","2018-08",27
"105","2018-09",19
"106","2018-10",16
"107","2018-11",12
"108","2018-12",9
"109","2019-01",22
"110","2019-02",21
"111","2019-03",14
"112","2019-04",19
"113","2019-05",29
"114","2019-06",20
"115","2019-07",22
"116","2019-08",32
"117","2019-09",23
"118","2019-10",30
"119","2019-11",27
"120","2019-12",22
"121","2020-01",14
"122","2020-02",16
"123","2020-03",26
"124","2020-04",5
"125","2020-05",10
