"","arrest_charge","arrest_statute","count"
"1","810.09(1a)*","trespassing-property not structure or convey",923
"2","810.09(2b)","trespassing-fail to leave property",859
"3","810.08(2a)","trespassing-structure or conveyance",621
"4","810.09(2a)","trespassing-property not structure or convey",545
"5","810.08(2b)","trespassing-occupied structure or conveyance",423
"6","810.09(1a)","trespassing-property not structure or convey",25
"7","810.09(2a)","conspiracy to trespassing-property not structure or convey",16
"8","810.09(2c)","trespassing-property armed",13
"9","810.09(2d)","trespassing-construction site",13
"10","810.08(2c)","trespassing-armed structure or conveyance",10
"11","810.08(2a)*","trespassing-structure or conveyance",8
"12","810.097(1)","trespassing-school grounds -was 228.091",7
"13","810.097","trespassing-school grounds -was 228.091",4
"14","810.09(2a)","principal to trespassing-property not structure or convey",3
"15","810.08(2b)*","trespassing-occupied structure or conveyance",2
"16","810.097(2)","trespassing-school grounds refuse to leave-was 228.091",2
"17","810.08(2a)","attempt-without executing to trespassing-structure or conveyance",1
"18","810.09(2b)","attempt to trespassing-fail to leave property",1
"19","810.09(2e)","trespassing-posted horticulture property",1
"20","810.0975(2b)(2a)","trespassing-wi school safety zone",1
